iso2c,year,source,not_credible,not_comparable,rev_inc_soc_contr,rev_ex_soc_contr,rev_ex_grants_inc_soc_contr,rev_ex_grants_ex_soc_contr,tot_resource_rev,resource_taxes,resource_comp_tax_income,resource_comp_indirect,resourc_comp_non_tax
AW,1986,IMF Country Report,False,False,0.26694402444273,0.26694402444273,0.260266270999919,0.260266270999919,NULL,NULL,NULL,NULL,NULL
AW,1987,IMF Country Report,False,False,0.310996706903656,0.310996706903656,0.302874835501253,0.302874835501253,NULL,NULL,NULL,NULL,NULL
AW,1988,IMF Country Report,False,False,0.226009425000274,0.226009425000274,0.220170161949588,0.220170161949588,NULL,NULL,NULL,NULL,NULL
AW,1989,IMF Country Report,False,False,0.220967657871526,0.220967657871526,0.216134656670091,0.216134656670091,NULL,NULL,NULL,NULL,NULL
AW,1990,IMF Country Report,False,False,0.266734602006231,0.266734602006231,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AW,1991,IMF Country Report,False,False,0.229019859064702,0.229019859064702,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AW,1992,IMF Country Report,False,False,0.261130536130536,0.261130536130536,0.250582750582751,0.250582750582751,NULL,0.0,0.0,0.0,NULL
AW,1993,IMF Country Report,False,False,0.250696235172769,0.250696235172769,0.242805569881382,0.242805569881382,NULL,0.0,0.0,0.0,NULL
AW,1994,IMF Country Report,False,False,0.23829596412556,0.23829596412556,0.229192825112108,0.229192825112108,NULL,0.0,0.0,0.0,NULL
AW,1995,IMF Country Report,False,False,0.25494923857868,0.25494923857868,0.243485617597293,0.243485617597293,NULL,0.0,0.0,0.0,NULL
AW,1996,IMF Country Report,False,False,0.327125506072874,0.261255060728745,0.31582995951417,0.249797570850202,NULL,0.0,0.0,0.0,NULL
AW,1997,IMF Country Report,False,False,0.293581327498176,0.228884026258206,0.279613420860686,0.214916119620715,NULL,0.0,0.0,0.0,NULL
AW,1998,IMF Country Report,False,False,0.277121771217712,0.216873532371687,0.271855082187185,0.211606843341161,NULL,0.0,0.0,0.0,NULL
AW,1999,IMF Country Report,False,False,0.291763942931258,0.227496757457847,0.291309987029831,0.22704280155642,NULL,0.0,0.0,0.0,NULL
AW,2000,IMF Country Report,False,False,0.280222422602946,0.223083859332732,0.275142771265404,0.218004207995191,NULL,0.0,0.0,0.0,NULL
AW,2001,IMF Country Report,False,False,0.265960576640188,0.215298617240365,0.265960576640188,0.215298617240365,NULL,0.0,0.0,0.0,NULL
AW,2002,IMF Country Report,False,False,0.273428821981877,0.22060800935399,0.262496346097632,0.209675533469746,NULL,0.0,0.0,0.0,NULL
AW,2003,IMF Country Report,False,False,0.33661093794276,0.280249362425616,0.327968262964012,0.271606687446869,NULL,0.0,0.0,0.0,NULL
AW,2004,IMF Country Report,False,False,0.258837038467035,0.209621898355567,0.251014764542033,0.201799624430566,NULL,0.0,0.0,0.0,NULL
AW,2005,IMF Country Report,False,False,0.262552426602756,0.21787896944278,0.255698022768125,0.211024565608149,NULL,0.0,0.0,0.0,NULL
AW,2006,IMF Country Report,False,False,0.271906943305098,0.22701925469846,0.264371894960965,0.219484206354327,NULL,0.0,0.0,0.0,NULL
AW,2007,IMF Country Report,False,False,0.264407518247707,0.220873625681152,0.257123388039074,0.213589495472518,NULL,0.0,0.0,0.0,NULL
