,,,,,,
Country Rank,Country / Territory,CPI 2014 Score,Surveys Used,Standard Error,90% Confidence interval,
,,,,,Lower,Upper
1.0,Denmark,92.0,7.0,2.0362670270053194,88.64015940544122,95.35984059455878
2.0,New Zealand,91.0,7.0,2.280911225654929,87.23649647766936,94.76350352233064
3.0,Finland,89.0,7.0,2.0520833818266193,85.61406241998608,92.38593758001392
4.0,Sweden,87.0,7.0,3.4082188036790666,81.37643897392954,92.62356102607046
5.0,Norway,86.0,7.0,2.375069569897687,82.08113520966882,89.91886479033118
5.0,Switzerland,86.0,6.0,2.6143324141450375,81.6863515166607,90.3136484833393
7.0,Singapore,84.0,8.0,1.7526728089040384,81.10808986530833,86.89191013469167
8.0,Netherlands,83.0,7.0,1.9722755194097488,79.74574539297392,86.25425460702608
9.0,Luxembourg,82.0,6.0,2.7775936075237633,77.41697054758579,86.58302945241421
10.0,Canada,81.0,7.0,2.4469112226080703,76.96259648269668,85.03740351730332
11.0,Australia,80.0,8.0,1.3128946508298953,77.83372382613068,82.16627617386932
12.0,Germany,79.0,7.0,2.580929185542784,74.74146684385441,83.25853315614559
12.0,Iceland,79.0,6.0,3.164219398935509,73.77903799175641,84.22096200824359
14.0,United Kingdom,78.0,7.0,2.092017140715036,74.5481717178202,81.4518282821798
15.0,Belgium,76.0,7.0,2.2646272605991866,72.26336502001135,79.73663497998865
15.0,Japan,76.0,8.0,3.161298885397005,70.78385683909494,81.21614316090506
17.0,Barbados,74.0,3.0,8.085983100751337,60.658127883760294,87.3418721162397
17.0,Hong Kong,74.0,7.0,2.753660650569902,69.45645992655966,78.54354007344034
17.0,Ireland,74.0,6.0,4.748524604384854,66.164934402765,81.835065597235
17.0,United States,74.0,8.0,3.7442267870685693,67.82202580133686,80.17797419866314
21.0,Chile,73.0,8.0,1.7383656981138025,70.13169659811223,75.86830340188777
21.0,Uruguay,73.0,6.0,1.4080201752345205,70.67676671086303,75.32323328913697
23.0,Austria,72.0,7.0,3.4875911152565715,66.24547465982666,77.75452534017334
24.0,Bahamas,71.0,3.0,0.9906490112250941,69.36542913147859,72.63457086852141
25.0,United Arab Emirates,70.0,7.0,5.141433574240472,61.51663460250322,78.48336539749678
